62.6123 -95.5331 85.1117
76.4011 -83.9629 85.1117
76.4011 -83.9629 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
59.4866 -77.8065 85.1117
59.4866 -77.8065 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
45.6978 -89.3767 85.1117
45.6978 -89.3767 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
48.8235 -107.103 85.1117
48.8235 -107.103 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
65.738 -113.26 85.1117
65.738 -113.26 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
79.5268 -101.69 85.1117
79.5268 -101.69 65.1117
62.6123 -95.5331 65.1117
#

62.6123 -95.5331 85.1117
76.4011 -83.9629 85.1117
76.4011 -83.9629 65.1117
62.6123 -95.5331 65.1117
#

